acl 2.3.1-2
python-pyqt5 5.15.6-7
python-pyqt5-sip 12.9.1-1
python-pyqt5-webengine 5.15.5-4
python-pyrsistent 0.18.1-1
python-pysocks 1.7.1-7
python-pytz 2021.3-4
python-pyzmq 22.3.0-1
python-requests 2.27.1-1
python-requests-unixsocket 0.3.0-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-send2trash 1.8.0-3
python-setuptools 1:59.3.0-1
python-six 1.16.0-5
python-sniffio 1.2.0-5
python-soupsieve 2.3-1
python-stack-data 0.2.0-1
python-terminado 0.13.1-1
python-testpath 0.5.0-3
python-toml 0.10.2-7
python-tomli 2.0.0-1
python-tomlkit 0.9.2-1
python-tornado 6.1.0-5
python-traitlets 5.1.1-1
python-typing_extensions 4.1.0-1
python-urllib3 1.26.8-1
python-virtualenv 20.11.0-1
python-virtualenv-clone 0.5.7-3
python-waitress 2.0.0-3
python-wcwidth 0.2.5-6
python-webencodings 0.5.1-9
python-websocket-client 1.2.3-2
python-werkzeug 2.0.2-3
python-wheel 0.37.1-1
python-zipp 3.7.0-1
python2 2.7.18-5
qbittorrent 4.4.1-1
qt5-base 5.15.2+kde+r301-1
qt5-declarative 5.15.2+kde+r46-1
qt5-location 5.15.2-5
qt5-svg 5.15.2+kde+r16-2
qt5-translations 5.15.2+kde+r22-1
qt5-webchannel 5.15.2+kde+r5-2
qt5-webengine 5.15.8-8
qt6-base 6.2.3-5
qt6-svg 6.2.3-2
qt6-translations 6.2.3-1
raptor 2.0.15-17
rasqal 1:0.9.33-4
rav1e 0.4.1-1
re2 1:20220201-1
readline 8.1.002-1
redland 1:1.0.17-8
rest 0.8.1+r4+ge5ee6ef-1
ripgrep 13.0.0-2
rsync 3.2.3-4
rtkit 0.13-1
rubberband 2.0.2-1
ruby 3.0.3-1
ruby-irb 1.4.1-1
ruby-reline 0.3.1-1
rubygems 3.3.5-1
run-parts 5.5-1
runc 1.1.0-1
sbc 1.5-2
scrot 1.7-1
sdl2 2.0.20-1
sed 4.8-1
semver 7.3.5-2
sgml-common 0.6.3-7
shaderc 2021.3-1
shadow 4.11.1-1
shared-mime-info 2.0+115+gd74a913-1
slang 2.3.2-2
snappy 1.1.9-2
sof-firmware 2.0-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2021.4-1
sqlite 3.37.2-1
srt 1.4.4-1
stardict-tools 3.0.2-2
startup-notification 0.12-7
stow 2.3.1-3
sudo 1.9.9-2
svt-av1 0.9.0-1
sxhkd 0.6.2-1
sxiv 26-1
sysfsutils 2.1.1-1
systemd 250.3-4
systemd-libs 250.3-4
systemd-sysvcompat 250.3-4
tar 1.34-1
tdb 1.4.6-1
texinfo 6.8-2
thunar 4.16.10-1
tmux 3.2_a-1
tracker3 3.2.1-2
tree 2.0.2-1
tree-sitter 0.20.4-1
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-liberation 2.1.5-1
ttf-twemoji-color 13.0.1-1
tzdata 2021e-1
uchardet 0.0.7-1
unibilium 2.1.1-1
unoconv 0.9-2
unrar 1:6.1.4-1
unzip 6.0-18
util-linux 2.37.4-1
util-linux-libs 2.37.4-1
v4l-utils 1.22.1-1
vid.stab 1.1-3
vmaf 2.3.0-1
vulkan-headers 1:1.3.204-1
vulkan-icd-loader 1.2.203-1
wayland 1.20.0-1
webkit2gtk 2.34.6-1
webrtc-audio-processing 0.3.1-3
wget 1.21.2-1
which 2.21-5
wimlib 1.13.5-1
woeusb 5.1.2-1
woff2 1.0.2-3
wpa_supplicant 2:2.10-2
wpebackend-fdo 1.12.0-1
x264 3:0.164.r3081.19856cc-1
x265 3.5-1
xcb-proto 1.14.1-5
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
